epoch,val_monitor_name,val_monitor_score,train_attn_loss_norm,train_attn_loss_raw,train_attn_loss_weight,train_loss,train_phys_loss_norm,train_phys_loss_raw,train_phys_loss_weight,train_track_loss_log_var,train_track_loss_norm,train_track_loss_raw,train_track_loss_weight,train_vel_loss_log_var,train_vel_loss_norm,train_vel_loss_raw,train_vel_loss_weight,val_attn_loss_norm,val_attn_loss_raw,val_attn_loss_weight,val_loss,val_phys_loss_norm,val_phys_loss_raw,val_phys_loss_weight,val_track_loss_log_var,val_track_loss_norm,val_track_loss_raw,val_track_loss_weight,val_vel_loss_log_var,val_vel_loss_norm,val_vel_loss_raw,val_vel_loss_weight,val_kaggle_rmse,val_kaggle_rows
1,,,0.9778865450431828,0.0036905145778370414,6.250000000000001e-05,-0.06876551869137798,0.5541886960228152,0.00032091501003542216,0.00125,-0.2994933589444646,0.45887283466167167,0.45887283466167167,0.6843607361146619,-0.501343918859911,0.032013494176551416,0.032013494176551416,0.8605423787230885,,,,,,,,,,,,,,,,,
2,kaggle_rmse,1.0401824023600443,0.997097704629881,0.0047388701538594,0.00012500000000000003,-0.7755009804620263,0.6740103772954998,0.0002015968648815511,0.0025,-0.8257184198687618,0.2980784938427178,0.2980784938427178,1.1498250566821153,-1.500360821199635,0.019699181021477906,0.019699181021477906,2.33477850877431,1.0782522573174964,0.004728871825547914,6.250000000000003e-05,-1.0401408416628035,1.4607897923094806,0.0002740755224582633,0.00125,-1.010069727897644,0.2874531615258207,0.2874531615258207,1.3728961944580078,-1.9949951171875,0.01791440627783286,0.01791440627783286,3.676083564758301,1.0401824023600443,164854.0
3,,,0.9999586589976378,0.005324800276824235,0.0001875,-1.3129509185626482,0.6744856496061001,0.0002028758967242812,0.0037500000000000003,-1.1467632625630237,0.25363373627812896,0.25363373627812896,1.5775412394752708,-2.4805773985734074,0.016037033815326392,0.016037033815326392,6.207097384651589,,,,,,,,,,,,,,,,,
4,kaggle_rmse,0.9169746795795022,0.9995536059052338,0.006497956623452607,0.00025000000000000006,-1.718366653915151,0.7233632607036016,0.00040012836343501605,0.005,-1.3290822729305507,0.22734112589605807,0.22734112589605807,1.8906449766630873,-3.3973930211752186,0.0138191942019691,0.0138191942019691,15.387129959282287,0.9553425437091071,0.007277487004373936,6.250000000000003e-05,-1.8472130952217698,2.112080485754352,0.0009922231314765026,0.00125,-1.3966680765151978,0.22182629432103873,0.22182629432103873,2.02085542678833,-3.789346694946289,0.013331778944343953,0.013331778944343953,22.11374855041504,0.9169746795795022,164854.0
5,,,0.9992879952797945,0.00792541734131485,0.0003125,-1.9474824255418581,0.7852520744468466,0.0007380831673877433,0.0062499999999999995,-1.4560214646313079,0.20816862142644174,0.20816862142644174,2.1455468558753528,-4.060796154485695,0.012311128784103747,0.012311128784103747,29.27614589450896,,,,,,,,,,,,,,,,,
6,kaggle_rmse,0.8473606333089377,0.99975609206168,0.008620613414391553,0.000375,-2.051460571777079,0.8282686059909804,0.001324665922001395,0.007500000000000001,-1.5568894893730372,0.19365917148808073,0.19365917148808073,2.3726608747046107,-4.36255035745252,0.011262900278631855,0.011262900278631855,39.27754301620293,0.933669747573677,0.008528817880286742,6.250000000000003e-05,-2.103117926334497,1.2132771410975298,0.0031374232656164376,0.00125,-1.5897290706634521,0.19196977272303936,0.19196977272303936,2.4512102603912354,-4.437142848968506,0.01036718030975033,0.01036718030975033,42.266536712646484,0.8473606333089377,164854.0
7,,,0.9990865695009927,0.00862957334413106,0.0004375000000000001,-2.1221078605721018,0.8533049357445708,0.0018433994072295304,0.00875,-1.622393053567554,0.1813066468076618,0.1813066468076618,2.533198376997977,-4.490583464991802,0.010482791425013665,0.010482791425013665,44.60404556777684,,,,,,,,,,,,,,,,,
8,kaggle_rmse,0.7940611373920707,0.9997171848189302,0.008705540039196696,0.0005000000000000001,-2.1707881043104247,0.8355728172434111,0.0019921343157492753,0.01,-1.6982174032420874,0.17344509512937326,0.17344509512937326,2.732377309200424,-4.567674637314531,0.009948299292674092,0.009948299292674092,48.16719232912024,0.8423310393510863,0.007624422852549,6.250000000000003e-05,-2.1598923024364307,1.3542784365504161,0.0011766672356989017,0.00125,-1.7147623300552368,0.1776845071905208,0.1776845071905208,2.777677536010742,-4.59136962890625,0.010095930637371022,0.010095930637371022,49.31471252441406,0.7940611373920707,164854.0
9,,,0.9992663107950077,0.00858118927160664,0.0005625000000000002,-2.2092255009096315,0.8225889185377256,0.001313098133707325,0.011249999999999996,-1.7376578970218828,0.1667927837874274,0.1667927837874274,2.8423148612248457,-4.6158079505085166,0.009570543625430972,0.009570543625430972,50.53917113133034,,,,,,,,,,,,,,,,,
10,kaggle_rmse,0.7941267378171705,0.9994077719622191,0.008708115888138858,0.000625,-2.244070053108728,0.7961951875388985,0.0011523128986345836,0.012499999999999999,-1.7799525944252932,0.16127454476521128,0.16127454476521128,2.9649145202420706,-4.655872432417692,0.00922307131061094,0.00922307131061094,52.60374021160657,0.9435859736772175,0.008297942864848232,6.250000000000003e-05,-2.2456018591534903,0.995586133280581,0.0007815214204147119,0.00125,-1.8012959957122803,0.16641095136357947,0.16641095136357947,3.0287463665008545,-4.6764140129089355,0.00908760630178822,0.00908760630178822,53.6921501159668,0.7941267378171705,164854.0
11,,,0.9993340256624849,0.008693255129746372,0.0006874999999999999,-2.2683973079398094,0.7848070583912917,0.0009493917009476586,0.013750000000000004,-1.8149375602878304,0.15758993445981473,0.15758993445981473,3.070514589613246,-4.691975461780586,0.008979780474255575,0.008979780474255575,54.53692858427106,,,,,,,,,,,,,,,,,
